model	model_weights_url	model_weights_md5
a2z-accessibility	https://zenodo.org/record/5724562/files/model-accessibility-full.h5?download=1	ad8a23d4d3a85e828ad6b1c53351fb8b
a2z-methylation	https://zenodo.org/record/5724562/files/model-methylation-full.h5?download=1	c09ae8aeeadda60a1b9dba6fda3262ad
